# "doi prefix" "# non-data doi" "# data doi"
10.1270 214 0
10.4141 212 0
10.3987 212 0
10.1679 212 0
10.1643 210 0
10.2170 206 0
10.2114 206 0
10.1331 204 0
10.3177 201 0
10.1583 201 0
10.3132 197 0
10.5142 196 0
10.1290 194 0
10.2133 192 0
10.4172 190 0
10.1602 190 0
10.4028 188 0
10.2746 186 0
10.1536 186 0
10.4054 182 0
10.4236 181 0
10.2216 178 0
10.3747 176 0
10.2166 175 0
10.4238 174 0
10.4067 173 0
10.1600 173 0
10.2323 172 0
10.2116 172 0
10.1187 172 0
# 10.2210 166 0
10.3164 165 0
10.1075 165 0
10.3858 164 0
10.3835 164 0
10.1119 162 0
10.5479 160 0
10.1579 160 0
10.1538 160 0
10.5489 158 0
10.3851 158 0
10.1144 153 0
10.1061 151 0
10.2332 150 0
10.4149 146 0
10.1360 142 0
10.1127 141 0
10.1518 140 0
10.3376 137 0
10.2514 137 0
10.2519 136 0
10.2143 135 0
10.2131 135 0
10.3348 134 0
10.4244 133 0
10.1303 133 0
10.1668 129 0
10.2475 126 0
10.2325 125 0
10.1102 123 0
10.5812 122 0
10.1365 122 0
10.5588 121 0
10.5301 121 0
10.1636 121 0
10.2976 120 0
10.5172 119 0
10.3121 119 0
10.2113 119 0
10.1614 118 0
10.2989 117 0
10.111 115 0
10.3152 113 0
10.1251 112 0
10.2334 110 0
10.2223 110 0
10.1649 110 0
10.1272 110 0
10.1120 110 0
10.2183 109 0
10.5641 108 0
10.5962 107 0
10.5511 107 0
10.1070 107 0
10.3161 106 0
10.3891 105 0
10.3766 103 0
10.3141 103 0
10.1201 103 0
10.7554 102 0
10.5993 102 0
10.1899 101 0
10.1657 101 0
10.4249 100 0
10.2459 98 0
10.1520 97 0
10.4158 96 0
10.1255 96 0
10.4085 95 0
10.4014 95 0
10.2152 95 0
10.1560 95 0
10.1524 94 0
10.3111 93 0
10.2975 93 0
10.1670 93 0
10.1509 93 0
10.4104 90 0
10.3410 90 0
10.3184 90 0
10.2110 90 0
10.2903 89 0
10.2302 89 0
10.1651 89 0
10.4143 88 0
10.1264 87 0
10.1087 87 0
10.3920 86 0
10.3147 85 0
10.1892 85 0
10.1783 85 0
10.3114 84 0
10.1090 84 0
10.4176 82 0
10.2220 81 0
10.1655 81 0
10.5688 80 0
10.1653 80 0
